id;nombre;apellido;correo;empresa;fechaNacimiento;sueldo;genero
436;Ăngela;Islas;sonia.romero@prodigy.net.mx;Áviles y Áviles S.C.;1981-09-12;64.67;HOMBRE
437;Jaime;Rojas;maricela.ponce@hotmail.com;Duarte S.C.;1981-09-13;10.14;HOMBRE
438;Lorenzo;Ortega;félix.de la torre@gmail.com;Cisneros y Cisneros S.R.L;1981-09-14;20.62;HOMBRE
439;JosĂ© Alberto;de la Torre;paula.rivas@gmail.com;Gámez y Gámez S.R.L;1981-09-15;29.83;HOMBRE
440;MĂłnica;Gallardo;gloria.gómez@yahoo.com;"Trujillo; Trujillo y Trujillo Asociados S.A. de C.V.";1981-09-16;23.48;HOMBRE
441;Norma;Gaytán;óscar.quintana@prodigy.net.mx;Cortés y Cortés S.A.;1981-09-17;62.3;HOMBRE
442;Esperanza;Montoya;david.uribe@gmail.com;Grupo Leal S.R.L;1981-09-18;59.5;HOMBRE
443;Julio CĂ©sar;Valdez;adrián.olivares@gmail.com;Ojeda y Ojeda S.A.B.;1981-09-19;26.72;HOMBRE
444;Mario;Medrano;maribel.acosta@gmail.com;Guzmán y Guzmán S.R.L;1981-09-20;6.52;HOMBRE
445;Lorenzo;Villalobos;maría de lourdes.guerra@yahoo.com;Sociedad Calderón S.A. de C.V.;1981-09-21;66.28;HOMBRE
446;Beatriz;Benítez;teresa.peralta@prodigy.net.mx;de la Torre de la Torre S.R.L;1981-09-22;84.58;HOMBRE
447;JesĂşs;Ordoñez;alfonso.lira@prodigy.net.mx;Covarrubias Covarrubias S.R.L;1981-09-23;83.33;HOMBRE
448;JosĂ© Alfredo;Gallardo;leonardo.luna@yahoo.com;Álvarez Álvarez S.A. de C.V.;1981-09-24;60.63;HOMBRE
449;JosĂ© Antonio;Galindo;roberto.arteaga@hotmail.com;Peralta S.A. de C.V.;1981-09-25;26.42;HOMBRE
450;FĂ©lix;Segura;mariana.ortega@gmail.com;Quintero S.A.B.;1981-09-26;90.76;HOMBRE
451;Hugo;Quiroz;silvia.juárez@hotmail.com;Silva Silva S.C.;1981-09-27;7.12;HOMBRE
452;Ăngela;Montiel;luis alberto.olivares@hotmail.com;Zamora y Zamora S.A.;1981-09-28;12.96;HOMBRE
453;Carolina;de Jesús;francisca.alvarado@prodigy.net.mx;Alcántara y Alcántara S.A.;1981-09-29;8.19;HOMBRE
454;Teresa;Galicia;miguel ángel.yáñez@gmail.com;Ordoñez Ordoñez S.A. de C.V.;1981-09-30;56.37;HOMBRE
455;Luis;Valadez;patricia.olivares@prodigy.net.mx;del Ángel y del Ángel S.A. de C.V.;1981-10-01;71.68;HOMBRE
456;Patricia;Blanco;socorro.duarte@gmail.com;Yáñez Yáñez S.C.;1981-10-02;10.69;HOMBRE
457;Francisco;Cisneros;edith.escobar@yahoo.com;Franco y Franco S.C.;1981-10-03;27.77;HOMBRE
458;Francisca;Estrada;antonio.medina@gmail.com;Grupo Domínguez S.A.;1981-10-04;85.02;HOMBRE
459;Elena;Hernández;raymundo.garcía@prodigy.net.mx;Grupo Financiero Medrano S.C.;1981-10-05;38.4;HOMBRE
460;Lorena;de la Cruz;maría luisa.martínez@prodigy.net.mx;Montiel Montiel S.C.;1981-10-06;69.41;HOMBRE
461;Vicente;Gutiérrez;francisca.guillén@hotmail.com;López S.A.;1981-10-07;1.41;HOMBRE
462;Ăngel;Santillán;aurora.márquez@gmail.com;Espinoza Espinoza S.R.L;1981-10-08;19.57;HOMBRE
463;Jorge;Vega;alicia.rubio@gmail.com;Carrillo y Carrillo S.A.;1981-10-09;53.29;HOMBRE
464;Raquel;Tapia;sandra.campos@prodigy.net.mx;Bernal y Bernal S.R.L;1981-10-10;96.87;HOMBRE
465;Vicente;Cruz;fernando.bonilla@yahoo.com;Piña y Piña S.C.;1981-10-11;53.42;HOMBRE
466;Julio;Muñoz;carlos.gutiérrez@hotmail.com;Colegio García S.A.B.;1981-10-12;76.12;HOMBRE
467;Esperanza;Castillo;sonia.mejía@hotmail.com;Sociedad Quiroz S.R.L;1981-10-13;59.02;HOMBRE
468;JosĂ© Antonio;Ortega;césar.báez@prodigy.net.mx;Santiago S.A.;1981-10-14;56.08;HOMBRE
469;Esperanza;Castellanos;vicente.rocha@yahoo.com;Colegio Quiroz S.A. de C.V.;1981-10-15;55.01;HOMBRE
470;Rodrigo;Villegas;micaela.molina@gmail.com;Cuevas S.A.;1981-10-16;75.92;HOMBRE
471;JosĂ©;Varela;josé.saucedo@gmail.com;"Caballero; Caballero y Caballero Asociados S.A.";1981-10-17;80.09;HOMBRE
472;Sonia;Galván;moisés.valle@hotmail.com;Sociedad Ochoa S.A.;1981-10-18;19.67;HOMBRE
473;Vicente;Santos;guadalupe.castellanos@prodigy.net.mx;"Castañeda; Castañeda y Castañeda Asociados S.A.B.";1981-10-19;54.56;HOMBRE
474;Rigoberto;Sierra;andrea.olvera@hotmail.com;Castañeda y Castañeda S.A.;1981-10-20;23.79;HOMBRE
475;TomĂˇs;Tapia;rocío.vidal@hotmail.com;Félix Félix S.C.;1981-10-21;23.69;HOMBRE
476;Erika;Morales;alberto.ojeda@yahoo.com;Fondo Espinosa S.A. de C.V.;1981-10-22;46.26;HOMBRE
477;Esteban;Madrigal;isidro.rangel@yahoo.com;"Valdez; Valdez y Valdez Asociados S.A. de C.V.";1981-10-23;64.7;HOMBRE
478;Socorro;Medina;omar.guerra@hotmail.com;Solís S.A.B.;1981-10-24;93.41;HOMBRE
479;Gabriel;Segura;olivia.gil@gmail.com;Varela S.R.L;1981-10-25;88.07;HOMBRE
480;MarĂ­a Luisa;Zepeda;verónica.sierra@prodigy.net.mx;"Zamora; Zamora y Zamora Asociados S.C.";1981-10-26;78.59;HOMBRE
481;Martha;Zamudio;gustavo.romo@prodigy.net.mx;Jaramillo y Jaramillo S.A.;1981-10-27;91.31;HOMBRE
482;Luis;Anaya;marcela.de los santos@yahoo.com;"Ortiz; Ortiz y Ortiz Asociados S.A.B.";1981-10-28;31.52;HOMBRE
483;AdriĂˇn;Gámez;marco antonio.acosta@prodigy.net.mx;Colegio Mendoza S.R.L;1981-10-29;85.93;HOMBRE
484;Abel;Quintana;alejandro.becerra@gmail.com;"Cuevas; Cuevas y Cuevas Asociados S.A. de C.V.";1981-10-30;23.08;HOMBRE
485;Rosa;Pérez;sergio.velázquez@yahoo.com;Colegio Téllez S.R.L;1981-10-31;25.34;HOMBRE
486;Manuela;Juárez;abel.gaytán@hotmail.com;Villanueva Villanueva S.A.B.;1981-11-01;85.9;HOMBRE
487;Irene;Rosales;josé luis.varela@gmail.com;"Suárez; Suárez y Suárez Asociados S.A. de C.V.";1981-11-02;70.92;HOMBRE
488;Samuel;Bernal;josé alfredo.villa@hotmail.com;Colegio Duarte S.A. de C.V.;1981-11-03;21.16;HOMBRE
489;Irene;Calderón;maría elena.vargas@hotmail.com;Trujillo S.C.;1981-11-04;69.6;HOMBRE
490;Ăngel;Saldaña;margarita.coronado@prodigy.net.mx;Áviles y Áviles S.A. de C.V.;1981-11-05;95.42;HOMBRE
491;Alejandro;Hurtado;esteban.palacios@gmail.com;"Martínez; Martínez y Martínez Asociados S.C.";1981-11-06;2.33;HOMBRE
492;Marina;Castellanos;jorge luis.arreola@hotmail.com;Grupo Financiero Mendoza S.A. de C.V.;1981-11-07;63.51;HOMBRE
493;Cecilia;Rubio;césar.meza@prodigy.net.mx;Zárate y Zárate S.A.;1981-11-08;39.56;HOMBRE
494;RubĂ©n;Barrios;rosa maría.escalante@prodigy.net.mx;Tovar Tovar S.C.;1981-11-09;54.18;HOMBRE
495;Ernesto;León;alejandro.baltazar@hotmail.com;"González; González y González Asociados S.A.";1981-11-10;94.96;HOMBRE
496;Socorro;Saucedo;susana.rico@yahoo.com;González González S.A. de C.V.;1981-11-11;30.44;HOMBRE
497;VerĂłnica;Carbajal;hugo.aguilar@yahoo.com;Ponce Ponce S.A.;1981-11-12;59.66;HOMBRE
498;Guadalupe;Magaña;rafael.lira@gmail.com;Gómez Gómez S.C.;1981-11-13;76.38;HOMBRE
499;Norma;Balderas;concepción.solano@prodigy.net.mx;Grupo Financiero Alfaro S.C.;1981-11-14;79;HOMBRE
500;Carlos;Magaña;óscar.zapata@prodigy.net.mx;Fondo Arteaga S.A. de C.V.;1981-11-15;63.6;HOMBRE
501;Benito;Barron;félix.velasco@gmail.com;Monroy Monroy S.A. de C.V.;1981-11-16;74.82;MUJER
502;Marcela;Ochoa;rosalba.márquez@hotmail.com;Anaya S.A.;1981-11-17;43.8;MUJER
503;Olivia;Galván;josé guadalupe.valdez@gmail.com;"Peralta; Peralta y Peralta Asociados S.A.";1981-11-18;38.57;MUJER
504;Hugo;Soto;socorro.jaramillo@gmail.com;Hidalgo Hidalgo S.A.;1981-11-19;87.62;MUJER
505;Aurora;Escobar;reyna.zaragoza@prodigy.net.mx;Ávalos S.C.;1981-11-20;10.7;MUJER
506;Jaime;Saucedo;adela.león@prodigy.net.mx;Durán Durán S.A. de C.V.;1981-11-21;13.45;MUJER
507;Rosario;Chávez;juan carlos.murillo@yahoo.com;"González; González y González Asociados S.A.B.";1981-11-22;5.98;MUJER
508;Vicente;Rojas;maría de lourdes.corona@hotmail.com;Márquez y Márquez S.A.;1981-11-23;3.63;MUJER
509;Maricela;Rivas;rocío.antonio@hotmail.com;Palacios Palacios S.R.L;1981-11-24;45.45;MUJER
510;Graciela;Valle;sara.arriaga@hotmail.com;"Acevedo; Acevedo y Acevedo Asociados S.A.";1981-11-25;99.52;MUJER
511;Reyna;Zúñiga;gabriela.arellano@hotmail.com;Fondo Ríos S.A.B.;1981-11-26;64.3;MUJER
512;Leonardo;Ochoa;carlos.reséndiz@hotmail.com;Colegio Vásquez S.A. de C.V.;1981-11-27;70.78;MUJER
513;Virginia;Ocampo;juan antonio.piña@yahoo.com;"Armenta; Armenta y Armenta Asociados S.A. de C.V.";1981-11-28;0.94;MUJER
514;Norma;Barragán;pedro.santiago@hotmail.com;Arenas y Arenas S.R.L;1981-11-29;20.68;MUJER
515;Martina;Bautista;pablo.molina@gmail.com;Fondo León S.A.;1981-11-30;50.36;MUJER
516;Joel;Gómez;ramón.garcía@gmail.com;Grupo Valencia S.C.;1981-12-01;77.11;MUJER
517;JosĂ© Alberto;Palacios;maría de lourdes.montoya@prodigy.net.mx;Barron Barron S.A.B.;1981-12-02;21.91;MUJER
518;Juan;Espinosa;araceli.zepeda@yahoo.com;Grupo Torres S.C.;1981-12-03;21.54;MUJER
519;Silvia;Cortés;ricardo.valadez@prodigy.net.mx;Gaytán Gaytán S.R.L;1981-12-04;56.91;MUJER
520;Raymundo;Delgado;raquel.andrade@prodigy.net.mx;Serrano y Serrano S.A.B.;1981-12-05;76.2;MUJER
521;Victoria;Arreola;agustina.moreno@yahoo.com;Escamilla Escamilla S.A.;1981-12-06;87.82;MUJER
522;Irma;Quintana;victoria.rodríguez@gmail.com;"Carrasco; Carrasco y Carrasco Asociados S.R.L";1981-12-07;35.31;MUJER
523;Alejandra;Lira;ofelia.rodríguez@yahoo.com;Saucedo Saucedo S.C.;1981-12-08;3.78;MUJER
524;Norma;Escobar;irene.barron@prodigy.net.mx;Fondo Luna S.A.B.;1981-12-09;32.34;MUJER
525;Luis;Flores;sofía.esparza@hotmail.com;"Cervantes; Cervantes y Cervantes Asociados S.A.B.";1981-12-10;94.18;MUJER
526;Javier;Acosta;raúl.zúñiga@gmail.com;Fondo Fuentes S.A.;1981-12-11;53.7;MUJER
527;Elizabeth;Galicia;leticia.velasco@yahoo.com;Colegio Morán S.C.;1981-12-12;85.45;MUJER
528;Consuelo;Jaramillo;alejandra.armenta@prodigy.net.mx;Grupo Financiero Reyes S.A. de C.V.;1981-12-13;73.74;MUJER
529;Elena;Carrasco;josé juan.alvarado@prodigy.net.mx;"Coronado; Coronado y Coronado Asociados S.A.B.";1981-12-14;47.48;MUJER
530;Socorro;Saldaña;maría.sotelo@yahoo.com;Rendón S.A.B.;1981-12-15;9.64;MUJER
531;Maribel;Jaramillo;ernesto.navarrete@prodigy.net.mx;Gallardo S.A. de C.V.;1981-12-16;4.95;MUJER
532;Guadalupe;Valenzuela;jorge.sandoval@prodigy.net.mx;Valencia S.R.L;1981-12-17;0.52;MUJER
533;MarĂ­a de Lourdes;Campos;david.félix@hotmail.com;Colegio Flores S.C.;1981-12-18;41.07;MUJER
534;VĂ­ctor;Rocha;verónica.suárez@yahoo.com;Salas Salas S.C.;1981-12-19;58.48;MUJER
535;Samuel;Santana;mónica.zepeda@yahoo.com;Grupo Ponce S.C.;1981-12-20;72.72;MUJER
536;Aurora;Olvera;olivia.rico@yahoo.com;Ramos S.A.;1981-12-21;32.32;MUJER
537;MarĂ­a de Lourdes;Aguilar;elena.carrera@gmail.com;de Jesús y de Jesús S.A. de C.V.;1981-12-22;18.21;MUJER
538;SofĂ­a;Córdova;virginia.yáñez@hotmail.com;Leal S.R.L;1981-12-23;64.28;MUJER
539;Santiago;Zamudio;celia.quiroz@hotmail.com;"Magaña; Magaña y Magaña Asociados S.C.";1981-12-24;83.04;MUJER
540;Victoria;Ortiz;felipe.del ángel@yahoo.com;Martínez S.R.L;1981-12-25;9.01;MUJER
541;AdriĂˇn;Mora;santiago.félix@yahoo.com;Dávila y Dávila S.A.;1981-12-26;82.62;MUJER
542;Celia;Aguirre;verónica.ramos@yahoo.com;Sociedad Nájera S.A.;1981-12-27;59.12;MUJER
543;Ăngel;Sosa;julio.luna@gmail.com;Garduño Garduño S.A.B.;1981-12-28;80.23;MUJER
544;Humberto;Arroyo;josé angel.sosa@prodigy.net.mx;Alfaro Alfaro S.A. de C.V.;1981-12-29;77.01;MUJER
545;Roberto;Barrios;martín.ordoñez@yahoo.com;"Guerra; Guerra y Guerra Asociados S.A.B.";1981-12-30;87.26;MUJER
546;Marco Antonio;Osorio;pablo.medrano@prodigy.net.mx;Sociedad Guzmán S.R.L;1981-12-31;45.39;MUJER
547;Felipe;Aguilar;vicente.vidal@hotmail.com;Sierra S.R.L;1982-01-01;92.49;MUJER
548;Alejandro;Carrera;marcos.román@yahoo.com;Fondo Valdez S.A. de C.V.;1982-01-02;3.88;MUJER
549;Carmen;Yáñez;jorge.áviles@prodigy.net.mx;Fondo Zaragoza S.A. de C.V.;1982-01-03;17.37;MUJER
550;HĂ©ctor;Espinosa;gilberto.castro@yahoo.com;"Bravo; Bravo y Bravo Asociados S.A.B.";1982-01-04;53.86;MUJER
551;Julio CĂ©sar;Pacheco;jesús.cortés@prodigy.net.mx;Fondo Bonilla S.C.;1982-01-05;41.77;MUJER
552;Bertha;Delgado;karina.ibarra@hotmail.com;"Trejo; Trejo y Trejo Asociados S.A.";1982-01-06;64.09;MUJER
553;Elvira;Zavala;petra.reyes@yahoo.com;Ríos Ríos S.A.;1982-01-07;85.34;MUJER
554;Gabriela;Espinoza;omar.zepeda@prodigy.net.mx;Saldaña y Saldaña S.R.L;1982-01-08;53.37;MUJER
555;Alicia;Leyva;araceli.sotelo@prodigy.net.mx;"Valadez; Valadez y Valadez Asociados S.A.B.";1982-01-09;35.02;MUJER
556;Petra;Luna;martina.ayala@prodigy.net.mx;Fondo Vargas S.C.;1982-01-10;30.22;MUJER
557;Norma;Cordero;rogelio.alonso@gmail.com;"Valencia; Valencia y Valencia Asociados S.A. de C.V.";1982-01-11;71.59;MUJER
558;VerĂłnica;Antonio;benito.quintana@yahoo.com;"Valenzuela; Valenzuela y Valenzuela Asociados S.C.";1982-01-12;32.23;MUJER
559;Martha;Valencia;celia.colín@gmail.com;Hurtado Hurtado S.A.;1982-01-13;4.07;MUJER
560;Francisca;Venegas;aurora.muñoz@yahoo.com;"Mondragón; Mondragón y Mondragón Asociados S.R.L";1982-01-14;85.24;MUJER
561;Norma;Acosta;mario alberto.corona@gmail.com;Meléndez Meléndez S.R.L;1982-01-15;78.52;MUJER
562;Vicente;Huerta;rodolfo.villarreal@prodigy.net.mx;Castillo y Castillo S.A.B.;1982-01-16;35.64;MUJER
563;Maricela;Aguilera;marcos.vidal@yahoo.com;Guillén S.R.L;1982-01-17;89.56;MUJER
564;Luz MarĂ­a;Anaya;sara.bravo@hotmail.com;Sociedad Galindo S.C.;1982-01-18;44.35;MUJER
565;Ignacio;Peralta;joel.jímenez@prodigy.net.mx;"Ayala; Ayala y Ayala Asociados S.R.L";1982-01-19;12.33;MUJER
566;SofĂ­a;Rendón;elena.torres@prodigy.net.mx;Calderón y Calderón S.A.B.;1982-01-20;48.78;MUJER
567;Carlos;Becerra;mario alberto.zavala@gmail.com;Galindo S.A.;1982-01-21;57.42;MUJER
568;Jorge Luis;Zapata;paula.zapata@yahoo.com;Sociedad Sosa S.A.;1982-01-22;37.36;MUJER
569;Ismael;Montiel;josé.arredondo@gmail.com;"Rubio; Rubio y Rubio Asociados S.A.B.";1982-01-23;71.68;MUJER
570;NicolĂˇs;Lara;adriana.nájera@gmail.com;Grupo Barrera S.R.L;1982-01-24;61.17;MUJER
571;Lorenzo;Cervantes;lilia.vásquez@gmail.com;Flores S.A. de C.V.;1982-01-25;95.75;MUJER
572;Julio CĂ©sar;Soriano;sergio.cárdenas@yahoo.com;Rivera y Rivera S.R.L;1982-01-26;56.58;MUJER
573;Fabiola;Arias;armando.téllez@hotmail.com;Molina Molina S.A. de C.V.;1982-01-27;1.22;MUJER
574;Miriam;Mora;víctor hugo.padilla@gmail.com;Díaz Díaz S.A.B.;1982-01-28;33.96;MUJER
575;Julio CĂ©sar;Guillén;guillermo.valle@gmail.com;Cázares S.R.L;1982-01-29;64.67;MUJER
576;AndrĂ©s;Piña;josé guadalupe.santiago@yahoo.com;Alfaro y Alfaro S.C.;1982-01-30;19.24;MUJER
577;Julio;Arteaga;claudia.rangel@hotmail.com;Dávila y Dávila S.C.;1982-01-31;63.22;MUJER
578;Alicia;Zepeda;fernando.saucedo@gmail.com;Méndez S.A.;1982-02-01;19.18;MUJER
579;Ăngel;Medina;raúl.nava@hotmail.com;Rangel S.R.L;1982-02-02;61.72;MUJER
580;Elvira;Rentería;gabriela.gámez@hotmail.com;Grupo Medina S.A.B.;1982-02-03;28.35;MUJER
581;Miguel Ăngel;Ayala;elizabeth.quintero@prodigy.net.mx;"Becerra; Becerra y Becerra Asociados S.A. de C.V.";1982-02-04;91.15;MUJER
582;Gloria;Cabrera;alejandro.beltrán@yahoo.com;Álvarez y Álvarez S.R.L;1982-02-05;47.55;MUJER
583;HĂ©ctor;Macías;lorena.soto@yahoo.com;Espinosa S.R.L;1982-02-06;21.82;MUJER
584;Jorge Luis;Hurtado;paula.zárate@gmail.com;Dávila S.R.L;1982-02-07;41.45;MUJER
585;MarĂ­a;Escobedo;josé antonio.peralta@prodigy.net.mx;Monroy Monroy S.C.;1982-02-08;15.32;MUJER
586;Adela;Ocampo;eva.márquez@prodigy.net.mx;Hurtado Hurtado S.A.;1982-02-09;9.69;MUJER
587;Martina;Galicia;julio césar.castro@gmail.com;"Arias; Arias y Arias Asociados S.R.L";1982-02-10;91.94;MUJER
588;Juan Antonio;Barajas;maría de lourdes.medina@prodigy.net.mx;"Meza; Meza y Meza Asociados S.A. de C.V.";1982-02-11;72.73;MUJER
589;Manuel;Castillo;edgar.barrios@gmail.com;Gómez S.A. de C.V.;1982-02-12;92.53;MUJER
590;SaĂşl;Montiel;josé alfredo.mata@gmail.com;Nava S.A.;1982-02-13;4.54;MUJER
591;Hugo;Ponce;miriam.galván@hotmail.com;"Arroyo; Arroyo y Arroyo Asociados S.A.";1982-02-14;8.21;MUJER
592;Lilia;Quiroz;adela.báez@yahoo.com;Arteaga S.A. de C.V.;1982-02-15;60.81;MUJER
593;Lorenzo;Pacheco;alejandra.delgado@yahoo.com;Arias y Arias S.A.B.;1982-02-16;29.3;MUJER
594;Santiago;Salinas;petra.alvarado@gmail.com;Grupo Estrada S.R.L;1982-02-17;18.48;MUJER
595;Francisco;Carbajal;leticia.rivera@gmail.com;Baltazar Baltazar S.A.;1982-02-18;55.69;MUJER
596;CĂ©sar;Cortés;césar.figueroa@yahoo.com;"Leal; Leal y Leal Asociados S.A.";1982-02-19;31.88;MUJER
597;JosĂ© Angel;Ayala;micaela.valadez@prodigy.net.mx;Colegio Guerra S.R.L;1982-02-20;61.29;MUJER
598;MĂłnica;Flores;ramón.soriano@prodigy.net.mx;Villegas Villegas S.C.;1982-02-21;28.52;MUJER
599;Rafael;Correa;olivia.romo@yahoo.com;"Parra; Parra y Parra Asociados S.A.";1982-02-22;9.75;MUJER
600;Irma;Santiago;salvador.alarcón@yahoo.com;Grupo Financiero Navarro S.C.;1982-02-23;75.66;MUJER
601;Mercedes;Salinas;moisés.arreola@hotmail.com;"Ramírez; Ramírez y Ramírez Asociados S.A.B.";1982-02-24;40.42;MUJER
602;Abel;de la Cruz;samuel.arenas@gmail.com;"Lozano; Lozano y Lozano Asociados S.A. de C.V.";1982-02-25;94.05;MUJER
603;Julio;Alcántara;rocío.peña@prodigy.net.mx;Arellano S.A.B.;1982-02-26;41.98;MUJER
604;Ricardo;Fernández;hugo.carrasco@prodigy.net.mx;Cárdenas y Cárdenas S.A.;1982-02-27;30.53;MUJER
605;Yolanda;Fuentes;marcos.quezada@prodigy.net.mx;Valdés S.R.L;1982-02-28;85.43;MUJER
606;Jorge Luis;Garza;lidia.arias@prodigy.net.mx;Muñoz y Muñoz S.R.L;1982-03-01;12.84;MUJER
607;Martina;Villarreal;david.ortiz@prodigy.net.mx;Salas S.C.;1982-03-02;23.21;MUJER
608;Agustina;Aranda;jaime.garcía@hotmail.com;Rivera y Rivera S.A. de C.V.;1982-03-03;43.36;MUJER
609;Ramiro;Zaragoza;alejandro.delgado@hotmail.com;Sociedad Serrano S.A.B.;1982-03-04;71.76;MUJER
610;Miriam;Quiroz;marcos.zúñiga@yahoo.com;"Castañeda; Castañeda y Castañeda Asociados S.A.";1982-03-05;69.13;MUJER
611;Irene;González;gustavo.arias@hotmail.com;"Lira; Lira y Lira Asociados S.R.L";1982-03-06;71.62;MUJER
612;Erika;Piña;rosa.hurtado@hotmail.com;"Alcántara; Alcántara y Alcántara Asociados S.A.";1982-03-07;29.12;MUJER
613;Luis;Arriaga;manuela.villalobos@gmail.com;"Córdova; Córdova y Córdova Asociados S.A. de C.V.";1982-03-08;72.25;MUJER
614;Fernando;Camacho;yolanda.flores@gmail.com;Ortiz S.A. de C.V.;1982-03-09;94.36;MUJER
615;Gregorio;Gómez;carmen.gallardo@prodigy.net.mx;"Zepeda; Zepeda y Zepeda Asociados S.R.L";1982-03-10;74.91;MUJER
616;Andrea;de la Cruz;francisca.anaya@gmail.com;Sociedad Duarte S.R.L;1982-03-11;6.38;MUJER
617;Sergio;Yáñez;marcela.vidal@gmail.com;Palacios Palacios S.A.B.;1982-03-12;11.42;MUJER
618;Julio CĂ©sar;Barajas;maría elena.alfaro@gmail.com;Vázquez S.R.L;1982-03-13;94.27;MUJER
619;Samuel;Colín;antonia.márquez@yahoo.com;"Lara; Lara y Lara Asociados S.R.L";1982-03-14;62;MUJER
620;JosĂ© Antonio;Parra;micaela.soto@gmail.com;"Franco; Franco y Franco Asociados S.A.";1982-03-15;25.51;MUJER
621;Alejandro;Valenzuela;enrique.anaya@prodigy.net.mx;"de los Santos; de los Santos y de los Santos Asociados S.A. de C.V.";1982-03-16;62.95;MUJER
622;Martina;Delgado;jorge.zavala@hotmail.com;Cervantes y Cervantes S.C.;1982-03-17;70.12;MUJER
623;Israel;Castillo;liliana.ochoa@yahoo.com;Solano Solano S.A.;1982-03-18;11.91;MUJER
624;Daniel;Garduño;miriam.ortega@hotmail.com;Zapata S.A.B.;1982-03-19;38.13;MUJER
625;Catalina;Valenzuela;esther.armenta@prodigy.net.mx;"Rojas; Rojas y Rojas Asociados S.C.";1982-03-20;2.62;MUJER
626;Guillermo;Rangel;víctor.ojeda@yahoo.com;Grupo Villarreal S.R.L;1982-03-21;76.29;MUJER
627;Rogelio;Romo;jesús.serrano@hotmail.com;Grupo Financiero López S.A.;1982-03-22;65.49;MUJER
628;Silvia;Ángeles;ignacio.reséndiz@gmail.com;Esquivel Esquivel S.C.;1982-03-23;79.15;MUJER
629;JosĂ© Juan;Acosta;josé guadalupe.acevedo@gmail.com;Medrano Medrano S.R.L;1982-03-24;26.85;MUJER
630;Liliana;Molina;adrián.soriano@gmail.com;"Morales; Morales y Morales Asociados S.A.B.";1982-03-25;11.81;MUJER
631;Juan Antonio;Alvarado;aurora.olivares@gmail.com;Huerta Huerta S.A. de C.V.;1982-03-26;48.93;MUJER
632;Gerardo;Arredondo;sara.alarcón@gmail.com;Solano y Solano S.A. de C.V.;1982-03-27;45.05;MUJER
633;Martina;Rivas;andrea.cisneros@yahoo.com;Saucedo y Saucedo S.R.L;1982-03-28;61.18;MUJER
634;JosĂ© Angel;Villegas;agustín.vargas@hotmail.com;Fondo Aguilera S.A. de C.V.;1982-03-29;38.87;MUJER
635;Andrea;Solano;miriam.gallardo@hotmail.com;"Barrera; Barrera y Barrera Asociados S.C.";1982-03-30;27.02;MUJER
636;Margarita;Blanco;marina.salinas@yahoo.com;Garza Garza S.A.;1982-03-31;56.4;MUJER
637;JesĂşs;Pineda;susana.rodríguez@prodigy.net.mx;Grupo Financiero Mondragón S.A.;1982-04-01;11.91;MUJER
638;JesĂşs;Segura;humberto.escobedo@hotmail.com;Trejo S.R.L;1982-04-02;58.24;MUJER
639;Marcela;Montoya;micaela.espinosa@hotmail.com;Serrano Serrano S.A. de C.V.;1982-04-03;79.26;MUJER
640;JosĂ©;Tapia;ricardo.rosas@hotmail.com;Flores y Flores S.A.;1982-04-04;86.19;MUJER
641;Francisca;Carrera;martín.sánchez@hotmail.com;Espinosa y Espinosa S.A.;1982-04-05;59.66;MUJER
642;Juan;Leyva;víctor hugo.valle@yahoo.com;Fondo Salgado S.A. de C.V.;1982-04-06;48.1;MUJER
643;Mario;Salgado;vicente.alonso@gmail.com;Lara y Lara S.C.;1982-04-07;31.55;MUJER
644;Guillermo;Saucedo;felipe.vega@gmail.com;Fondo Cortés S.A.;1982-04-08;20.94;MUJER
645;Catalina;Bravo;micaela.guerrero@gmail.com;Chávez Chávez S.A.;1982-04-09;53.73;MUJER
646;Marina;Cortés;josé guadalupe.garcía@gmail.com;"Calderón; Calderón y Calderón Asociados S.R.L";1982-04-10;90.85;MUJER
647;Lilia;Cázares;félix.rosas@prodigy.net.mx;"Salazar; Salazar y Salazar Asociados S.R.L";1982-04-11;82.82;MUJER
648;Javier;Carmona;ángel.carrillo@yahoo.com;Escobedo S.A.B.;1982-04-12;96.64;MUJER
649;Ăngel;Molina;bertha.sotelo@yahoo.com;Contreras Contreras S.A. de C.V.;1982-04-13;42.89;MUJER
650;Ăngel;Sosa;gabriela.rivas@prodigy.net.mx;de Jesús S.R.L;1982-04-14;70.5;MUJER
651;BenjamĂ­n;Bernal;juan antonio.montiel@hotmail.com;Mendoza S.C.;1982-04-15;37.21;MUJER
652;Adriana;Arteaga;julio.villalobos@prodigy.net.mx;González González S.A.B.;1982-04-16;18.02;MUJER
653;Petra;Esparza;irma.arteaga@gmail.com;Fondo Soto S.A.B.;1982-04-17;69.81;MUJER
654;Micaela;Valenzuela;josé.castillo@yahoo.com;Hidalgo Hidalgo S.C.;1982-04-18;22.32;MUJER
655;Alberto;Contreras;rosario.paredes@hotmail.com;Acosta S.C.;1982-04-19;89.5;MUJER
656;Rogelio;May;josé alberto.huerta@gmail.com;Guerra y Guerra S.A.B.;1982-04-20;26.1;MUJER
657;RamĂłn;Rodríguez;ignacio.barajas@yahoo.com;Grupo Financiero Ruiz S.R.L;1982-04-21;64.01;MUJER
658;Vicente;Morán;andrea.valdez@prodigy.net.mx;Villarreal Villarreal S.A.;1982-04-22;55.98;MUJER
